customer_id,customer_name,customer_gender,kids_home,teens_home,number_complaints,distinct_stores_visited,spend_groceries,spend_electronics,typical_hour,spend_vegetables,spend_nonalcohol_drinks,spend_alcohol_drinks,spend_meat,spend_fish,spend_hygiene,spend_videogames,spend_petfood,total_distinct_products,year_first_transaction,latitude,longitude,has_loyalty_card,treated_percentage_of_products_bought_promotion,Education,Children,Age,Total Amount Spent,percentage_spend_groceries,percentage_spend_electronics,percentage_spend_vegetables,percentage_spend_nonalcohol_drinks,percentage_spend_alcohol_drinks,percentage_spend_meat,percentage_spend_fish,percentage_spend_hygiene,percentage_spend_videogames,percentage_spend_petfood
1483,Ryan`s Fishy,male,0,0,1,1,13188.0,120.0,9.0,300.0,344.0,141.0,86.0,41404.0,60.0,0.0,0.0,6.0,2004,38.96365303483279,-9.417378157176351,1,0.8692257107983918,No Degree,0,47,55643.0,0.23701094477292742,0.0021566055029383748,0.005391513757345937,0.006182269108423341,0.002534011465952591,0.0015455672771058353,0.7441007853638373,0.0010783027514691874,0.0,0.0
1488,Pamela`s Fishy,female,0,0,0,1,15079.0,231.0,17.0,220.0,390.0,81.0,43.0,37001.0,81.0,0.0,0.0,14.0,2009,38.96356373319574,-9.41746279547715,1,0.3981424128078796,No Degree,0,68,53126.0,0.2838346572299816,0.0043481534465233595,0.004141098520498438,0.007341038286338139,0.001524677182547152,0.0008093965290065128,0.6964763016225577,0.001524677182547152,0.0,0.0
1693,Bess`s Fishy,female,0,0,0,1,19748.0,36.0,17.0,505.0,458.0,143.0,39.0,35734.0,147.0,0.0,0.0,7.0,2009,38.96409408575972,-9.416636731999557,1,0.7564684222538882,No Degree,0,50,56810.0,0.34761485653934165,0.0006336912515402218,0.008889280056328112,0.008061960922372822,0.002517162471395881,0.0006864988558352403,0.6290089772927302,0.0025875726104559057,0.0,0.0
1789,Felipe`s Fishy,male,0,0,0,1,11997.0,72.0,17.0,513.0,281.0,143.0,138.0,39076.0,15.0,0.0,0.0,10.0,2011,39.3570857668773,-9.380656078466528,1,0.5295164864687549,No Degree,0,77,52235.0,0.22967359050445105,0.0013783861395615965,0.009821001244376376,0.005379534794677898,0.002737628027184838,0.0026419067674930603,0.7480807887431798,0.0002871637790753326,0.0,0.0
1830,Alejandro`s Fishy,male,0,0,1,1,13810.0,578.0,6.0,925.0,439.0,152.0,37.0,43232.0,150.0,0.0,0.0,29.0,2023,39.35710828111099,-9.380403869771166,1,0.1341846371427567,No Degree,0,24,59323.0,0.23279335165113024,0.009743269895318847,0.015592603206176357,0.007400165197309644,0.002562243986312223,0.0006237041282470542,0.7287561316858554,0.00252853024965022,0.0,0.0
1850,Julianna`s Fishy,female,0,0,1,1,11596.0,93.0,9.0,301.0,160.0,136.0,126.0,39259.0,17.0,0.0,0.0,33.0,2004,39.35671918056265,-9.38116257750083,1,0.4609691170814328,No Degree,0,44,51688.0,0.2243460764587525,0.0017992570809472219,0.0058234019501625135,0.003095496053242532,0.002631171645256152,0.002437703141928494,0.7595379972140536,0.000328896455657019,0.0,0.0
2179,Daisy`s Fishy,female,0,0,1,1,16723.0,99.0,7.0,305.0,313.0,123.0,102.0,39313.0,182.0,0.0,0.0,31.0,2012,38.96300547962434,-9.416972811960838,1,0.7723746275724892,No Degree,0,64,57160.0,0.29256473058082577,0.0017319804058782366,0.0053358992302309305,0.005475857242827152,0.0021518544436669,0.0017844646606018195,0.6877711686494051,0.003184044786564031,0.0,0.0
2428,Vicki`s Fishy,female,0,0,0,1,14386.0,64.0,17.0,640.0,274.0,197.0,17.0,44927.0,24.0,0.0,0.0,34.0,2010,38.96225026855161,-9.416771029398843,1,0.4854835440854713,No Degree,0,47,60529.0,0.23767119892943878,0.0010573444134216656,0.010573444134216656,0.004526755769961506,0.0032546382725635644,0.00028085710981512994,0.7422392572155496,0.00039650415503312463,0.0,0.0
2715,June`s Fishy,female,0,0,0,1,12565.0,204.0,8.0,449.0,323.0,112.0,109.0,34719.0,81.0,0.0,0.0,39.0,2006,38.96366500753041,-9.417299462894697,1,0.6401922593230323,No Degree,0,69,48562.0,0.2587414027428854,0.004200815452411351,0.009245912441826943,0.006651291132984638,0.002306330052304271,0.002244553354474692,0.7149417239817141,0.0016679708413986243,0.0,0.0
3000,Thelma`s Fishy,female,0,0,1,1,15400.0,297.0,8.0,339.0,324.0,82.0,129.0,35115.0,101.0,0.0,0.0,3.0,2008,38.96286802471516,-9.416310699252993,1,0.5561421652156479,No Degree,0,47,51787.0,0.2973719273176666,0.005735030026840713,0.006546044374070713,0.0062563963929171415,0.0015834089636395233,0.002490972637920714,0.6780659238805106,0.0019502964064340472,0.0,0.0
3090,Edward`s Fishy,male,1,0,0,1,15492.0,232.0,17.0,722.0,396.0,75.0,22.0,41409.0,133.0,0.0,0.0,17.0,2010,38.96235214423792,-9.417758805076488,1,0.2227658840550754,No Degree,1,62,58481.0,0.2649065508455738,0.003967100425779313,0.012345890118158034,0.006771430037106068,0.0012824678100579676,0.00037619055761700383,0.708076127289205,0.0022742429165027956,0.0,0.0
3092,Richard`s Fishy,male,0,0,1,1,11988.0,74.0,6.0,466.0,307.0,105.0,91.0,40023.0,150.0,0.0,0.0,27.0,2010,39.35664706677535,-9.382114791051375,1,0.3754872671011436,No Degree,0,49,53204.0,0.2253214044056838,0.0013908728667017518,0.008758739944365086,0.005770242838884295,0.0019735358243741074,0.0017103977144575595,0.7522554695135704,0.0028193368919630104,0.0,0.0
3096,Rebecca`s Fishy,female,0,0,0,1,13812.0,107.0,7.0,168.0,436.0,75.0,92.0,44248.0,71.0,0.0,0.0,8.0,2012,38.96237633153518,-9.417494139550204,1,0.5237415406783417,No Degree,0,38,59009.0,0.23406598993373892,0.001813282719585148,0.00284702333542341,0.007388703418122659,0.0012709925604568796,0.0015590842074937722,0.7498517175346133,0.001203206290565846,0.0,0.0
3245,Julia`s Fishy,female,0,0,1,1,13837.0,583.0,11.0,823.0,217.0,97.0,139.0,36787.0,76.0,0.0,0.0,20.0,2011,39.35605725028087,-9.382158498577944,1,0.7425202886163709,No Degree,0,49,52559.0,0.2632660438745029,0.011092296276565383,0.01565859320002283,0.004128693468292775,0.001845545006564052,0.0026446469681691053,0.6999181871801214,0.0014459940257615252,0.0,0.0
3353,Jean`s Fishy,female,0,0,1,1,16520.0,424.0,6.0,1184.0,210.0,49.0,4.0,45522.0,58.0,0.0,0.0,6.0,2003,38.96310575691434,-9.417527767631176,1,0.3510776075350256,No Degree,0,76,63971.0,0.2582420159134608,0.006628003314001657,0.018508386612683874,0.003282737490425349,0.000765972081099248,6.252833315095903e-05,0.7116036954244892,0.0009066608306889059,0.0,0.0
3373,Seth`s Fishy,male,1,0,1,1,13339.0,407.0,6.0,409.0,256.0,174.0,60.0,43764.0,87.0,0.0,0.0,16.0,2007,39.35750817197884,-9.381705250713583,1,0.2807916127459645,No Degree,1,72,58496.0,0.22803268599562362,0.006957740700218818,0.006991931072210066,0.00437636761487965,0.0029745623632385122,0.0010257111597374179,0.7481537199124726,0.0014872811816192561,0.0,0.0
3380,Samuel`s Fishy,male,0,0,0,1,16614.0,97.0,6.0,179.0,422.0,18.0,131.0,45222.0,118.0,0.0,0.0,7.0,2015,38.964006094505365,-9.418047873980209,1,0.4710042043230928,No Degree,0,36,62801.0,0.26454992754892437,0.001544561392334517,0.00285027308482349,0.0067196382223213,0.00028661963981465265,0.0020859540453177497,0.7200840750943456,0.0018789509721182783,0.0,0.0
3409,William`s Fishy,male,0,0,0,1,14358.0,106.0,9.0,98.0,126.0,61.0,109.0,33484.0,81.0,0.0,0.0,21.0,2007,38.96380645727439,-9.416252475579054,1,0.4464195663619371,No Degree,0,65,48423.0,0.2965119881048262,0.0021890423972079384,0.0020238316502488485,0.0026020692646056627,0.0012597319455630589,0.002250996427317597,0.6914895813972699,0.001672758812960783,0.0,0.0
3455,Diana`s Fishy,female,0,0,1,1,13449.0,383.0,7.0,117.0,227.0,28.0,116.0,36783.0,104.0,0.0,0.0,30.0,2011,38.9628060209108,-9.41639787405386,1,0.7532102562878278,No Degree,0,52,51207.0,0.2626398734548011,0.007479446169469018,0.002284843869002285,0.0044329876774659716,0.000546800242154393,0.0022653152889253424,0.7183197609701799,0.002030972328002031,0.0,0.0
3490,Rita`s Fishy,female,0,0,1,1,12620.0,71.0,9.0,11.0,427.0,33.0,86.0,41717.0,61.0,0.0,0.0,23.0,2008,39.35732505009159,-9.381061187249578,1,0.5823214372740778,No Degree,0,71,55026.0,0.2293461272852833,0.0012902991313197398,0.00019990549921855124,0.007759968015120125,0.0005997164976556537,0.0015628975393450369,0.7581325191727547,0.001108566859302875,0.0,0.0
3506,Richard`s Fishy,male,0,0,0,1,15463.0,153.0,7.0,898.0,320.0,84.0,60.0,42020.0,103.0,0.0,0.0,40.0,2014,39.356343930703865,-9.380446974390736,1,0.2027901377228353,No Degree,0,31,59101.0,0.261636858936397,0.0025887886837786165,0.015194328353158154,0.005414459992216714,0.0014212957479568873,0.0010152112485406338,0.7109862777279572,0.0017427793099947548,0.0,0.0
3647,Hector`s Fishy,male,0,0,0,1,13846.0,129.0,13.520579668624361,803.0,241.0,70.0,95.0,35938.0,109.0,0.0,0.0,19.0,2008,39.35589819172834,-9.382044155661704,1,0.4504822251745908,No Degree,0,71,51231.0,0.2702660498526283,0.002518006675645605,0.01567410357010404,0.004704183014190627,0.0013663602115906385,0.0018543460014444379,0.7014893326306338,0.0021276180437625656,0.0,0.0
3653,Frederick`s Fishy,male,0,0,0,1,12343.0,239.0,10.0,228.0,296.0,39.0,140.0,35127.0,154.0,0.0,0.0,9.0,2008,39.35751072686794,-9.38048494796375,1,0.6024484312331146,No Degree,0,56,48566.0,0.2541489931227608,0.004921138244862661,0.004694642342379442,0.0060947988304575216,0.0008030309269859572,0.0028826751225136927,0.7232837787752748,0.003170942634765062,0.0,0.0
3674,Linda`s Fishy,female,0,0,1,1,13487.0,83.0,17.0,746.0,190.0,81.0,196.0,41637.0,79.0,0.0,0.0,17.0,2008,38.96235350778717,-9.416601434306758,1,0.6181604322513758,No Degree,0,45,56499.0,0.23871218959627605,0.0014690525496026479,0.013203773518115365,0.0033628913786084708,0.0014336536929857166,0.0034690879484592647,0.7369510964795837,0.0013982548363687852,0.0,0.0
3714,David`s Fishy,male,0,0,0,1,16488.0,60.0,17.0,83.0,314.0,167.0,62.0,38238.0,67.0,0.0,0.0,36.0,2009,39.355695123547896,-9.380466408423027,1,0.2165874385835284,No Degree,0,69,55479.0,0.2971935326880441,0.0010814902936246147,0.0014960615728473836,0.00565979920330215,0.0030101479839218445,0.0011175399700787685,0.6892337641269669,0.0012076641612141531,0.0,0.0
3759,Wayne`s Fishy,male,0,0,1,1,12244.0,182.0,7.0,361.0,247.0,151.0,84.0,41639.0,175.0,0.0,0.0,35.0,2006,38.96334604350054,-9.417013509872705,1,0.548578201289306,No Degree,0,42,55083.0,0.22228273696058676,0.003304104714703266,0.006553746164878456,0.004484142112811575,0.0027413176479131494,0.0015249714067861228,0.755931957228183,0.003177023764137756,0.0,0.0
3830,Seth`s Fishy,male,0,0,0,1,14025.0,567.0,9.0,808.0,317.0,172.0,69.0,34742.0,110.0,0.0,0.0,16.0,2008,38.96385278807063,-9.417559421211507,1,0.4061463236155944,No Degree,0,60,50810.0,0.27602834087777994,0.011159220625861051,0.015902381420980122,0.006238929344617201,0.0033851604014957684,0.0013580003936233024,0.6837630387718953,0.002164928163747294,0.0,0.0
4104,Tanya`s Fishy,female,0,0,1,1,14434.0,297.0,17.0,950.0,325.0,108.0,108.0,41426.0,74.0,0.0,0.0,28.0,2010,38.96314420775327,-9.41708526271463,1,0.4823254402254319,No Degree,0,50,57722.0,0.25006063545961676,0.005145351858909948,0.016458196181698487,0.005630435535844218,0.0018710370396036174,0.0018710370396036174,0.7176813000242542,0.0012820068604691452,0.0,0.0
4133,Reid`s Fishy,male,0,0,1,1,15258.0,149.0,7.0,813.0,357.0,146.0,67.0,39087.0,107.0,0.0,0.0,30.0,2010,39.355734171293705,-9.381636571504169,1,0.6560821138531718,No Degree,0,33,55984.0,0.2725421549014004,0.00266147470705916,0.014522006287510717,0.006376821949128322,0.0026078879679908547,0.0011967705058588169,0.6981816233209488,0.0019112603601028864,0.0,0.0
4217,Deloris`s Fishy,female,0,0,1,1,10484.0,131.0,8.0,262.0,280.0,149.0,65.0,43886.0,135.0,0.0,0.0,20.0,2013,38.963549695207305,-9.417621987916103,1,0.43853940672408,No Degree,0,61,55392.0,0.18926920854997112,0.002364962449451184,0.004729924898902368,0.005054881571346043,0.0026899191218948586,0.0011734546504910456,0.7922804737146159,0.002437175043327556,0.0,0.0
4584,Matt`s Fishy,male,0,0,0,1,15024.0,50.0,6.0,347.0,484.0,54.0,157.0,43205.0,117.0,0.0,0.0,5.0,2009,38.96316128895169,-9.416618112053154,1,0.7033780713278921,No Degree,0,53,59438.0,0.2527675897573943,0.0008412126922171002,0.005838016083986675,0.00814293886066153,0.0009085097075944682,0.0026414078535616945,0.7268918873447963,0.0019684376997880144,0.0,0.0
4692,Mark`s Fishy,male,0,0,1,1,15771.0,122.0,17.0,47.0,321.0,108.0,54.0,35195.0,122.0,0.0,0.0,5.0,2008,38.963588462206346,-9.417898837925552,1,0.3890950136048969,No Degree,0,39,51740.0,0.3048125241592578,0.002357943563973715,0.0009083880943177425,0.006204097410127561,0.0020873598763046,0.0010436799381523,0.6802280633938925,0.002357943563973715,0.0,0.0
4830,Larry`s Fishy,male,0,0,0,1,14101.0,378.0,6.0,735.0,221.0,126.0,131.0,37268.0,91.0,0.0,0.0,24.0,2013,38.96414059553192,-9.416383509774656,1,0.4768509017243762,No Degree,0,69,53051.0,0.26580083316054365,0.007125219128762889,0.013854592750372284,0.004165802718139149,0.002375073042920963,0.0024693219731956044,0.702493826695067,0.0017153305309984732,0.0,0.0
4974,Greg`s Fishy,male,0,0,0,1,13585.0,315.0,8.0,1002.0,287.0,33.0,102.0,44547.0,125.0,0.0,0.0,5.0,2005,39.35753069537036,-9.381717454245068,1,0.6913267657146419,No Degree,0,40,59996.0,0.2264317621174745,0.005250350023334889,0.016701113407560503,0.004783652243482899,0.000550036669111274,0.0017001133408893927,0.7424994999666644,0.002083472231482099,0.0,0.0
4990,Ricky`s Fishy,male,0,0,1,1,14148.0,97.0,6.0,1242.0,343.0,61.0,98.0,43834.0,117.0,0.0,0.0,1.0,2008,39.35679562524962,-9.381264906731223,1,0.3287826725654745,No Degree,0,40,59940.0,0.23603603603603604,0.001618284951618285,0.02072072072072072,0.005722389055722389,0.0010176843510176844,0.0016349683016349684,0.7312979646312979,0.001951951951951952,0.0,0.0
5011,Bruce`s Fishy,male,0,0,0,1,14362.0,191.0,7.0,423.0,299.0,159.0,28.0,33000.0,151.0,0.0,0.0,38.0,2012,38.96344672076236,-9.41711768039281,1,0.2876633382176021,No Degree,0,64,48613.0,0.2954353773681937,0.003928990187809845,0.008701376175097196,0.006150618147409129,0.0032707300516322795,0.00057597761915537,0.6788307654331146,0.003106165017587888,0.0,0.0
5019,Stanley`s Fishy,male,0,0,1,1,16210.0,425.0,6.0,137.0,449.0,33.0,74.0,41952.0,151.0,0.0,0.0,15.0,2011,39.35735936375801,-9.38098979408159,1,0.3595230881323071,No Degree,0,45,59431.0,0.2727532769093571,0.007151150073194125,0.002305194258888459,0.007554979724386263,0.0005552657703891908,0.0012451414245090945,0.7058942302838586,0.0025407615554172065,0.0,0.0
5083,Michael`s Fishy,male,0,0,0,1,14269.0,146.0,6.0,239.0,213.0,65.0,88.0,40703.0,82.0,0.0,0.0,18.0,2011,39.35720154051531,-9.381317526798393,1,0.4909358799888123,No Degree,0,42,55805.0,0.2556939342352836,0.0026162530239225877,0.004282770361078756,0.003816862288325419,0.0011647701818833438,0.00157691963085745,0.7293790878953499,0.0014694023832989875,0.0,0.0
5434,Teofila`s Fishy,female,0,0,0,1,12466.0,105.0,6.0,283.0,146.0,68.0,10.0,42701.0,106.0,0.0,0.0,10.0,2014,38.96345088530117,-9.416681363800228,1,0.3207643707591165,No Degree,0,67,55885.0,0.22306522322626823,0.0018788583698666906,0.005063970654021651,0.002612507828576541,0.0012167844681041425,0.00017893889236825623,0.764086964301691,0.0018967522591035162,0.0,0.0
5503,William`s Fishy,male,0,0,1,1,10899.0,81.0,17.0,1224.0,417.0,86.0,147.0,38477.0,196.0,0.0,0.0,23.0,2008,39.35718260937546,-9.380981512519485,1,0.3951704322937745,No Degree,0,69,51527.0,0.2115201738894172,0.0015719913831583443,0.023754536456614978,0.008092844528111475,0.0016690278882915753,0.0028528732509169948,0.7467347216022667,0.00380383100122266,0.0,0.0
5534,Regina`s Fishy,female,1,0,0,1,13550.0,261.0,11.0,434.0,360.0,37.0,114.0,41973.0,59.0,0.0,0.0,28.0,2020,39.35618193691453,-9.38119885280529,1,0.534942150709206,No Degree,1,27,56788.0,0.23860674790448685,0.004596041417200817,0.007642459674579136,0.006339367472001127,0.0006515461012890048,0.00200746636613369,0.7391174191730647,0.001038951891244629,0.0,0.0
5647,Juana`s Fishy,female,0,0,1,1,14016.0,433.0,17.0,428.0,272.0,78.0,74.0,32637.0,9.0,0.0,0.0,10.0,2010,38.964210882771525,-9.41780103769446,1,0.4198100988874241,No Degree,0,72,47947.0,0.29232277306192256,0.009030804847018584,0.008926523035852087,0.005672930527457401,0.0016267962541973429,0.0015433708052641458,0.6806890942081882,0.00018770726009969342,0.0,0.0
5789,Valerie`s Fishy,female,0,0,0,1,11266.0,181.0,11.0,764.0,181.0,11.0,59.0,39201.0,43.0,0.0,0.0,13.0,2006,39.35663469744221,-9.380306732666686,1,0.6261846997048699,No Degree,0,59,51706.0,0.21788573859900204,0.0035005608633427456,0.014775848064054463,0.0035005608633427456,0.0002127412679379569,0.0011410668007581326,0.7581518585850772,0.0008316249564847407,0.0,0.0
5890,Frank`s Fishy,male,0,0,0,1,14690.0,109.0,9.0,248.0,276.0,84.0,20.0,1471.4238457539814,138.0,0.0,0.0,23.0,2011,39.35717625666884,-9.380328126704104,1,0.5119502188738507,No Degree,0,59,17036.423845753983,0.8622701649713425,0.006398056363640322,0.014557045671401833,0.016200583085914943,0.004930612243539331,0.001173955296080793,0.08636929082512272,0.008100291542957471,0.0,0.0
5979,Tyisha`s Fishy,female,0,0,1,1,15736.0,33.0,17.0,491.0,219.0,231.0,111.0,41899.0,95.0,0.0,0.0,23.0,2010,39.357502237234094,-9.382115396340152,1,0.4818051652758429,No Degree,0,57,58815.0,0.26755079486525546,0.0005610813567967356,0.008348210490521125,0.0037235399132874267,0.003927569497577148,0.0018872736546799286,0.7123862960129219,0.0016152342089602993,0.0,0.0
6078,Adrian`s Fishy,male,0,0,1,1,12331.0,323.0,17.0,514.0,173.0,100.0,156.0,47993.0,193.0,0.0,0.0,6.0,2013,38.96229748198052,-9.417590144466851,1,0.4351980527788395,No Degree,0,77,61783.0,0.1995856465370733,0.00522797533302041,0.00831944062282505,0.0028001230111843064,0.0016185682145574026,0.002524966414709548,0.7767994432125342,0.0031238366540957867,0.0,0.0
6153,Colleen`s Fishy,female,0,0,0,1,13245.0,140.0,17.0,563.0,375.0,62.0,133.0,35325.0,67.0,0.0,0.0,24.0,2012,39.35697117560312,-9.38217797310791,1,0.7974208292379518,No Degree,0,32,49910.0,0.26537767982368266,0.002805049088359046,0.011280304548186735,0.007513524343818874,0.0012422360248447205,0.002664796633941094,0.7077739931877379,0.0013424163494289722,0.0,0.0
6322,Karen`s Fishy,female,0,0,0,1,15561.0,322.0,17.0,474.0,410.0,144.0,82.0,39200.0,45.0,0.0,0.0,22.0,2012,38.96225962291697,-9.416151820724163,1,0.2534887539209757,No Degree,0,56,56238.0,0.2766990291262136,0.005725665919840677,0.00842846473914435,0.007290444183648067,0.002560546249866638,0.0014580888367296135,0.6970375902414737,0.0008001707030833244,0.0,0.0
6457,John`s Fishy,male,0,0,0,1,15160.0,147.0,17.0,290.0,422.0,60.0,39.0,44790.0,46.0,0.0,0.0,30.0,2007,38.96232956965439,-9.417249768293225,1,0.7082605411244107,No Degree,0,59,60954.0,0.24871214358368607,0.002411654690422286,0.004757686123962332,0.006923253601076222,0.000984348853233586,0.0006398267546018309,0.734816418938872,0.0007546674541457492,0.0,0.0
6559,Cyrus`s Fishy,male,0,0,1,1,14687.0,31.0,6.0,554.0,475.0,1.0,216.0,29430.0,71.0,0.0,0.0,21.0,2017,39.35649370957002,-9.381325823385536,1,0.5934104879515402,No Degree,0,30,45465.0,0.3230397008688002,0.000681843176069504,0.012185197404596943,0.010447597052677884,2.1994941163532386e-05,0.004750907291322996,0.6473111184427581,0.0015616408226107996,0.0,0.0
